,Transported,CryoSleep,Age,VIP,,Transported',,VIP,Age,CryoSleep,B_0
304,1,0,19,0,,"0,144992185",FALSE,,,,
305,1,0,0,0,,0,FALSE,,,,
306,1,1,18,0,,"0,1373610173",FALSE,,,,
307,1,1,38,0,,"0,2899843699",FALSE,,,,
311,1,1,15,0,,"0,1144675144",FALSE,,,,
313,1,0,22,0,,"0,1678856878",FALSE,,,,
314,1,1,36,0,,"0,2747220347",FALSE,,,,
315,1,1,14,0,,"0,1068363468",FALSE,,,,
317,1,1,18,0,,"0,1373610173",FALSE,,,,
318,1,1,36,0,,"0,2747220347",FALSE,,,,
320,1,1,50,0,,"0,3815583815",TRUE,,,,
321,1,1,32,0,,"0,2441973641",FALSE,,,,
324,1,0,33,0,,"0,2518285318",FALSE,,,,
327,1,1,61,0,,"0,4655012254",TRUE,,,,
328,1,0,24,0,,"0,1831480231",FALSE,,,,
330,1,1,24,0,,"0,1831480231",FALSE,,,,
334,1,0,22,0,,"0,1678856878",FALSE,,,,
337,1,1,21,0,,"0,1602545202",FALSE,,,,
339,1,1,56,0,,"0,4273453872",TRUE,,,,
340,1,1,13,0,,"0,09920517918",FALSE,,,,
342,1,1,32,0,,"0,2441973641",FALSE,,,,
343,1,0,31,0,,"0,2365661965",FALSE,,,,
344,1,1,26,0,,"0,1984103584",FALSE,,,,
345,1,1,18,0,,"0,1373610173",FALSE,,,,
346,1,1,38,0,,"0,2899843699",FALSE,,,,
350,1,0,0,0,,0,FALSE,,,,
351,1,0,14,0,,"0,1068363468",FALSE,,,,
356,1,0,27,1,,"0,2508136483",FALSE,,,,
360,1,1,18,0,,"0,1373610173",FALSE,,,,
361,1,1,45,0,,"0,3434025433",TRUE,,,,
365,1,1,32,1,,"0,2889694864",FALSE,,,,
366,1,0,43,1,,"0,3729123303",TRUE,,,,
375,1,0,60,0,,"0,4578700578",TRUE,,,,
378,1,1,68,0,,"0,5189193988",TRUE,,,,
380,1,1,59,0,,"0,4502388901",TRUE,,,,
381,1,0,27,0,,"0,206041526",FALSE,,,,
383,1,1,3,0,,"0,02289350289",FALSE,,,,
384,1,1,31,0,,"0,2365661965",FALSE,,,,
385,1,0,31,0,,"0,2365661965",FALSE,,,,
386,1,0,29,0,,"0,2213038612",FALSE,,,,
387,1,0,20,0,,"0,1526233526",FALSE,,,,
388,1,1,46,0,,"0,3510337109",TRUE,,,,
389,1,0,29,0,,"0,2213038612",FALSE,,,,
390,1,1,43,0,,"0,3281402081",TRUE,,,,
392,1,1,27,0,,"0,206041526",FALSE,,,,
394,1,1,45,0,,"0,3434025433",TRUE,,,,
395,1,1,17,0,,"0,1297298497",FALSE,,,,
396,1,0,10,0,,"0,07631167629",FALSE,,,,
400,1,1,40,0,,"0,3052467052",FALSE,,,,
408,1,1,22,0,,"0,1678856878",FALSE,,,,
409,1,0,22,0,,"0,1678856878",FALSE,,,,
411,1,1,32,0,,"0,2441973641",FALSE,,,,
412,1,1,11,0,,"0,08394284392",FALSE,,,,
413,1,1,22,0,,"0,1678856878",FALSE,,,,
414,1,1,19,0,,"0,144992185",FALSE,,,,
415,1,1,34,0,,"0,2594596994",FALSE,,,,
416,1,1,74,0,,"0,5647064046",TRUE,,,,
417,1,1,28,1,,"0,2584448159",FALSE,,,,
418,1,1,42,0,,"0,3205090404",TRUE,,,,
419,1,1,43,0,,"0,3281402081",TRUE,,,,
421,1,0,19,0,,"0,144992185",FALSE,,,,
424,1,1,28,0,,"0,2136726936",FALSE,,,,
426,1,1,24,0,,"0,1831480231",FALSE,,,,
427,1,0,31,0,,"0,2365661965",FALSE,,,,
428,1,0,22,0,,"0,1678856878",FALSE,,,,
429,1,0,1,0,,"0,007631167629",FALSE,,,,
434,1,0,27,0,,"0,206041526",FALSE,,,,
437,1,1,25,0,,"0,1907791907",FALSE,,,,
438,1,1,36,0,,"0,2747220347",FALSE,,,,
440,1,0,30,0,,"0,2289350289",FALSE,,,,
442,1,1,15,0,,"0,1144675144",FALSE,,,,
445,1,1,27,0,,"0,206041526",FALSE,,,,
446,1,1,12,0,,"0,09157401155",FALSE,,,,
449,1,1,13,0,,"0,09920517918",FALSE,,,,
455,1,1,14,0,,"0,1068363468",FALSE,,,,
456,1,1,27,0,,"0,206041526",FALSE,,,,
457,1,1,46,0,,"0,3510337109",TRUE,,,,
458,1,1,27,0,,"0,206041526",FALSE,,,,
460,1,0,21,0,,"0,1602545202",FALSE,,,,
463,1,0,10,0,,"0,07631167629",FALSE,,,,
466,1,1,18,0,,"0,1373610173",FALSE,,,,
467,1,1,54,0,,"0,412083052",TRUE,,,,
468,1,1,24,0,,"0,1831480231",FALSE,,,,
470,1,1,18,0,,"0,1373610173",FALSE,,,,
471,1,1,53,0,,"0,4044518844",TRUE,,,,
472,1,1,23,0,,"0,1755168555",FALSE,,,,
473,1,0,39,0,,"0,2976155375",FALSE,,,,
474,1,0,59,0,,"0,4502388901",TRUE,,,,
475,1,0,32,0,,"0,2441973641",FALSE,,,,
476,1,1,55,0,,"0,4197142196",TRUE,,,,
477,1,1,21,0,,"0,1602545202",FALSE,,,,
478,1,1,50,0,,"0,3815583815",TRUE,,,,
481,1,1,35,0,,"0,267090867",FALSE,,,,
482,1,1,27,0,,"0,206041526",FALSE,,,,
484,1,0,23,0,,"0,1755168555",FALSE,,,,
486,1,0,35,0,,"0,267090867",FALSE,,,,
487,1,1,47,0,,"0,3586648786",TRUE,,,,
489,1,1,34,0,,"0,2594596994",FALSE,,,,
493,1,1,27,0,,"0,206041526",FALSE,,,,
498,1,0,28,0,,"0,2136726936",FALSE,,,,
499,1,1,27,0,,"0,206041526",FALSE,,,,
500,1,1,36,0,,"0,2747220347",FALSE,,,,
501,1,1,30,0,,"0,2289350289",FALSE,,,,
502,1,1,49,0,,"0,3739272138",TRUE,,,,
504,1,1,31,0,,"0,2365661965",FALSE,,,,
510,1,0,24,0,,"0,1831480231",FALSE,,,,
511,1,0,32,0,,"0,2441973641",FALSE,,,,
512,1,1,43,0,,"0,3281402081",TRUE,,,,
513,1,0,23,0,,"0,1755168555",FALSE,,,,
515,1,1,29,0,,"0,2213038612",FALSE,,,,
516,1,1,40,0,,"0,3052467052",FALSE,,,,
517,1,0,37,0,,"0,2823532023",FALSE,,,,
518,1,1,61,0,,"0,4655012254",TRUE,,,,
520,1,0,19,0,,"0,144992185",FALSE,,,,
523,1,0,12,0,,"0,09157401155",FALSE,,,,
524,1,0,44,0,,"0,3357713757",TRUE,,,,
527,1,1,32,0,,"0,2441973641",FALSE,,,,
528,1,1,28,0,,"0,2136726936",FALSE,,,,
531,1,1,13,0,,"0,09920517918",FALSE,,,,
532,1,1,14,0,,"0,1068363468",FALSE,,,,
534,1,1,27,0,,"0,206041526",FALSE,,,,
535,1,0,23,0,,"0,1755168555",FALSE,,,,
536,1,0,36,1,,"0,3194941569",TRUE,,,,
537,1,1,22,0,,"0,1678856878",FALSE,,,,
539,1,1,42,0,,"0,3205090404",TRUE,,,,
540,1,1,30,0,,"0,2289350289",FALSE,,,,
541,1,1,16,0,,"0,1220986821",FALSE,,,,
543,1,1,55,0,,"0,4197142196",TRUE,,,,
546,1,1,18,0,,"0,1373610173",FALSE,,,,
549,1,0,55,0,,"0,4197142196",TRUE,,,,
551,1,1,49,0,,"0,3739272138",TRUE,,,,
553,1,1,33,0,,"0,2518285318",FALSE,,,,
554,1,1,3,0,,"0,02289350289",FALSE,,,,
555,1,1,0,0,,0,FALSE,,,,
556,1,1,33,0,,"0,2518285318",FALSE,,,,
557,1,1,48,0,,"0,3662960462",TRUE,,,,
558,1,1,5,0,,"0,03815583815",FALSE,,,,
560,1,1,53,0,,"0,4044518844",TRUE,,,,
569,1,0,46,0,,"0,3510337109",TRUE,,,,
570,1,1,23,0,,"0,1755168555",FALSE,,,,
573,1,0,0,0,,0,FALSE,,,,
574,1,0,4,0,,"0,03052467052",FALSE,,,,
576,1,1,9,0,,"0,06868050866",FALSE,,,,
577,1,0,24,0,,"0,1831480231",FALSE,,,,
578,1,1,24,0,,"0,1831480231",FALSE,,,,
580,1,1,21,0,,"0,1602545202",FALSE,,,,
585,1,0,7,0,,"0,0534181734",FALSE,,,,
588,1,1,31,0,,"0,2365661965",FALSE,,,,
589,1,1,27,1,,"0,2508136483",FALSE,,,,
590,1,0,34,0,,"0,2594596994",FALSE,,,,
592,1,0,7,0,,"0,0534181734",FALSE,,,,
593,1,1,3,0,,"0,02289350289",FALSE,,,,
594,1,0,21,0,,"0,1602545202",FALSE,,,,
596,1,1,39,1,,"0,3423876598",TRUE,,,,
597,1,1,43,0,,"0,3281402081",TRUE,,,,
598,1,1,22,0,,"0,1678856878",FALSE,,,,
599,1,0,44,0,,"0,3357713757",TRUE,,,,
601,1,1,32,0,,"0,2441973641",FALSE,,,,
602,1,1,55,0,,"0,4197142196",TRUE,,,,
605,1,0,35,0,,"0,267090867",FALSE,,,,
610,1,1,20,0,,"0,1526233526",FALSE,,,,
611,1,0,63,0,,"0,4807635606",TRUE,,,,
613,1,0,29,0,,"0,2213038612",FALSE,,,,
614,1,0,36,0,,"0,2747220347",FALSE,,,,
616,1,1,30,0,,"0,2289350289",FALSE,,,,
617,1,1,30,0,,"0,2289350289",FALSE,,,,
618,1,0,19,0,,"0,144992185",FALSE,,,,
619,1,1,33,0,,"0,2518285318",FALSE,,,,
621,1,1,38,0,,"0,2899843699",FALSE,,,,
622,1,1,7,0,,"0,0534181734",FALSE,,,,
623,1,1,58,0,,"0,4426077225",TRUE,,,,
625,1,1,3,0,,"0,02289350289",FALSE,,,,
626,1,1,39,0,,"0,2976155375",FALSE,,,,
627,1,0,37,0,,"0,2823532023",FALSE,,,,
629,1,0,28,0,,"0,2136726936",FALSE,,,,
632,1,1,18,0,,"0,1373610173",FALSE,,,,
635,1,0,44,0,,"0,3357713757",TRUE,,,,
637,1,0,28,0,,"0,2136726936",FALSE,,,,
641,1,1,46,0,,"0,3510337109",TRUE,,,,
650,1,1,38,0,,"0,2899843699",FALSE,,,,
652,1,0,27,0,,"0,206041526",FALSE,,,,
653,1,0,0,0,,0,FALSE,,,,
654,1,1,20,0,,"0,1526233526",FALSE,,,,
656,1,1,18,0,,"0,1373610173",FALSE,,,,
660,1,1,36,0,,"0,2747220347",FALSE,,,,
661,1,1,54,0,,"0,412083052",TRUE,,,,
664,1,1,23,0,,"0,1755168555",FALSE,,,,
665,1,1,35,0,,"0,267090867",FALSE,,,,
667,1,0,22,0,,"0,1678856878",FALSE,,,,
668,1,0,24,0,,"0,1831480231",FALSE,,,,
669,1,1,18,0,,"0,1373610173",FALSE,,,,
671,1,1,33,0,,"0,2518285318",FALSE,,,,
673,1,1,18,0,,"0,1373610173",FALSE,,,,
674,1,1,19,0,,"0,144992185",FALSE,,,,
675,1,0,43,0,,"0,3281402081",TRUE,,,,
676,1,1,44,0,,"0,3357713757",TRUE,,,,
677,1,0,25,0,,"0,1907791907",FALSE,,,,
678,1,1,25,1,,"0,235551313",FALSE,,,,
679,1,1,23,0,,"0,1755168555",FALSE,,,,
682,1,1,2,0,,"0,01526233526",FALSE,,,,
684,1,1,38,0,,"0,2899843699",FALSE,,,,
686,1,0,12,0,,"0,09157401155",FALSE,,,,
689,1,1,1,0,,"0,007631167629",FALSE,,,,
690,1,1,0,0,,0,FALSE,,,,
691,1,1,54,0,,"0,412083052",TRUE,,,,
696,1,0,23,0,,"0,1755168555",FALSE,,,,
697,1,0,29,0,,"0,2213038612",FALSE,,,,
698,1,0,14,0,,"0,1068363468",FALSE,,,,
704,1,1,47,0,,"0,3586648786",TRUE,,,,
706,1,1,14,0,,"0,1068363468",FALSE,,,,
708,1,1,14,0,,"0,1068363468",FALSE,,,,
711,1,1,34,0,,"0,2594596994",FALSE,,,,
713,1,1,42,0,,"0,3205090404",TRUE,,,,
714,1,1,22,0,,"0,1678856878",FALSE,,,,
715,1,1,54,0,,"0,412083052",TRUE,,,,
717,1,1,27,0,,"0,206041526",FALSE,,,,
719,1,0,33,0,,"0,2518285318",FALSE,,,,
722,1,0,35,0,,"0,267090867",FALSE,,,,
726,1,1,31,0,,"0,2365661965",FALSE,,,,
727,1,1,54,0,,"0,412083052",TRUE,,,,
732,1,0,0,0,,0,FALSE,,,,
733,1,1,7,0,,"0,0534181734",FALSE,,,,
736,1,1,15,0,,"0,1144675144",FALSE,,,,
737,1,1,26,0,,"0,1984103584",FALSE,,,,
738,1,0,7,0,,"0,0534181734",FALSE,,,,
740,1,0,19,0,,"0,144992185",FALSE,,,,
744,1,1,59,0,,"0,4502388901",TRUE,,,,
745,1,1,28,0,,"0,2136726936",FALSE,,,,
747,1,1,19,0,,"0,144992185",FALSE,,,,
752,1,1,26,0,,"0,1984103584",FALSE,,,,
753,1,1,20,0,,"0,1526233526",FALSE,,,,
756,1,1,19,0,,"0,144992185",FALSE,,,,
757,1,1,27,0,,"0,206041526",FALSE,,,,
759,1,1,28,0,,"0,2136726936",FALSE,,,,
761,1,1,38,0,,"0,2899843699",FALSE,,,,
763,1,1,1,0,,"0,007631167629",FALSE,,,,
764,1,0,36,1,,"0,3194941569",TRUE,,,,
766,1,0,1,0,,"0,007631167629",FALSE,,,,
768,1,0,10,0,,"0,07631167629",FALSE,,,,
771,1,0,0,0,,0,FALSE,,,,
773,1,1,0,0,,0,FALSE,,,,
774,1,0,0,0,,0,FALSE,,,,
775,1,1,59,0,,"0,4502388901",TRUE,,,,
779,1,0,71,1,,"0,586585024",TRUE,,,,
780,1,1,23,1,,"0,2202889778",FALSE,,,,
781,1,0,15,0,,"0,1144675144",FALSE,,,,
783,1,0,19,0,,"0,144992185",FALSE,,,,
784,1,1,4,0,,"0,03052467052",FALSE,,,,
785,1,0,42,0,,"0,3205090404",TRUE,,,,
787,1,1,13,0,,"0,09920517918",FALSE,,,,
788,1,0,27,0,,"0,206041526",FALSE,,,,
790,1,0,41,0,,"0,3128778728",TRUE,,,,
791,1,0,21,0,,"0,1602545202",FALSE,,,,
792,1,0,31,0,,"0,2365661965",FALSE,,,,
793,1,1,36,0,,"0,2747220347",FALSE,,,,
801,1,1,30,0,,"0,2289350289",FALSE,,,,
802,1,1,14,0,,"0,1068363468",FALSE,,,,
803,1,0,27,0,,"0,206041526",FALSE,,,,
804,1,1,32,0,,"0,2441973641",FALSE,,,,
805,1,1,54,0,,"0,412083052",TRUE,,,,
807,1,1,38,0,,"0,2899843699",FALSE,,,,
808,1,1,32,0,,"0,2441973641",FALSE,,,,
813,1,1,36,0,,"0,2747220347",FALSE,,,,
814,1,1,22,0,,"0,1678856878",FALSE,,,,
816,1,1,37,0,,"0,2823532023",FALSE,,,,
819,1,0,20,0,,"0,1526233526",FALSE,,,,
824,1,1,33,0,,"0,2518285318",FALSE,,,,
830,1,1,52,0,,"0,3968207167",TRUE,,,,
832,1,0,27,1,,"0,2508136483",FALSE,,,,
834,1,1,32,0,,"0,2441973641",FALSE,,,,
836,1,0,26,0,,"0,1984103584",FALSE,,,,
838,1,0,32,0,,"0,2441973641",FALSE,,,,
839,1,0,18,0,,"0,1373610173",FALSE,,,,
843,1,0,19,0,,"0,144992185",FALSE,,,,
846,1,1,19,0,,"0,144992185",FALSE,,,,
848,1,0,74,0,,"0,5647064046",TRUE,,,,
849,1,0,31,0,,"0,2365661965",FALSE,,,,
855,1,1,33,0,,"0,2518285318",FALSE,,,,
857,1,0,27,0,,"0,206041526",FALSE,,,,
858,1,1,22,0,,"0,1678856878",FALSE,,,,
861,1,1,11,0,,"0,08394284392",FALSE,,,,
862,1,1,41,0,,"0,3128778728",TRUE,,,,
863,1,0,30,0,,"0,2289350289",FALSE,,,,
866,1,1,31,0,,"0,2365661965",FALSE,,,,
868,1,1,15,0,,"0,1144675144",FALSE,,,,
869,1,0,19,0,,"0,144992185",FALSE,,,,
870,1,1,29,0,,"0,2213038612",FALSE,,,,
871,1,0,30,0,,"0,2289350289",FALSE,,,,
875,1,0,30,0,,"0,2289350289",FALSE,,,,
876,1,0,0,0,,0,FALSE,,,,
877,1,1,15,0,,"0,1144675144",FALSE,,,,
878,1,0,38,0,,"0,2899843699",FALSE,,,,
883,1,0,19,0,,"0,144992185",FALSE,,,,
885,1,1,15,0,,"0,1144675144",FALSE,,,,
886,1,1,38,0,,"0,2899843699",FALSE,,,,
890,1,0,28,0,,"0,2136726936",FALSE,,,,
891,1,1,41,0,,"0,3128778728",TRUE,,,,
893,1,0,14,0,,"0,1068363468",FALSE,,,,
894,1,1,21,0,,"0,1602545202",FALSE,,,,
895,1,1,48,0,,"0,3662960462",TRUE,,,,
899,1,1,44,0,,"0,3357713757",TRUE,,,,
900,1,1,19,0,,"0,144992185",FALSE,,,,
903,1,0,32,0,,"0,2441973641",FALSE,,,,
906,1,0,44,0,,"0,3357713757",TRUE,,,,
907,1,1,57,0,,"0,4349765549",TRUE,,,,
909,1,1,34,0,,"0,2594596994",FALSE,,,,
913,1,1,30,0,,"0,2289350289",FALSE,,,,
915,1,1,22,0,,"0,1678856878",FALSE,,,,
917,1,1,71,0,,"0,5418129017",TRUE,,,,
918,1,0,18,0,,"0,1373610173",FALSE,,,,
921,1,0,36,0,,"0,2747220347",FALSE,,,,
925,1,0,49,0,,"0,3739272138",TRUE,,,,
927,1,0,46,0,,"0,3510337109",TRUE,,,,
929,1,1,17,0,,"0,1297298497",FALSE,,,,
934,1,1,46,0,,"0,3510337109",TRUE,,,,
936,1,0,56,0,,"0,4273453872",TRUE,,,,
939,1,0,3,0,,"0,02289350289",FALSE,,,,
941,1,1,1,0,,"0,007631167629",FALSE,,,,
942,1,1,56,1,,"0,4721175095",TRUE,,,,
945,1,1,5,0,,"0,03815583815",FALSE,,,,
946,1,0,12,0,,"0,09157401155",FALSE,,,,
947,1,1,39,0,,"0,2976155375",FALSE,,,,
948,1,1,60,0,,"0,4578700578",TRUE,,,,
951,1,1,19,0,,"0,144992185",FALSE,,,,
953,1,1,19,0,,"0,144992185",FALSE,,,,
956,1,1,18,0,,"0,1373610173",FALSE,,,,
957,1,0,36,0,,"0,2747220347",FALSE,,,,
958,1,1,25,0,,"0,1907791907",FALSE,,,,
961,1,1,0,0,,0,FALSE,,,,
966,1,0,8,0,,"0,06104934103",FALSE,,,,
969,1,0,3,0,,"0,02289350289",FALSE,,,,
970,1,1,30,0,,"0,2289350289",FALSE,,,,
974,1,1,61,0,,"0,4655012254",TRUE,,,,
976,1,0,13,0,,"0,09920517918",FALSE,,,,
977,1,1,24,0,,"0,1831480231",FALSE,,,,
979,1,0,15,0,,"0,1144675144",FALSE,,,,
980,1,1,46,0,,"0,3510337109",TRUE,,,,
985,1,1,58,0,,"0,4426077225",TRUE,,,,
986,1,0,20,0,,"0,1526233526",FALSE,,,,
987,1,1,36,0,,"0,2747220347",FALSE,,,,
988,1,1,31,0,,"0,2365661965",FALSE,,,,
992,1,0,58,0,,"0,4426077225",TRUE,,,,
993,1,1,38,0,,"0,2899843699",FALSE,,,,
994,1,1,30,0,,"0,2289350289",FALSE,,,,
995,1,1,20,0,,"0,1526233526",FALSE,,,,
999,1,0,38,0,,"0,2899843699",FALSE,,,,
1000,1,1,15,0,,"0,1144675144",FALSE,,,,
1001,1,1,27,1,,"0,2508136483",FALSE,,,,
1002,1,1,35,0,,"0,267090867",FALSE,,,,
1005,1,1,14,0,,"0,1068363468",FALSE,,,,
1006,1,1,27,0,,"0,206041526",FALSE,,,,
