,Transported,HomePlanet,CryoSleep,Age,VIP
117,False,1.0,False,18.0,False
118,True,3.0,True,67.0,False
119,False,3.0,False,35.0,False
120,False,3.0,False,61.0,True
121,False,3.0,False,45.0,False
122,True,1.0,True,22.0,False
123,True,3.0,True,19.0,False
124,False,3.0,False,36.0,False
125,True,1.0,False,19.0,False
126,False,1.0,False,47.0,False
127,True,1.0,True,13.0,False
128,False,1.0,False,34.0,False
129,True,0.0,True,35.0,False
130,True,1.0,True,24.0,False
131,False,1.0,False,26.0,False
132,False,3.0,False,31.0,False
133,True,1.0,False,20.0,False
134,False,1.0,False,56.0,False
135,True,1.0,True,50.0,False
136,False,3.0,False,42.0,False
137,True,1.0,True,27.0,False
138,False,1.0,True,38.0,False
139,False,1.0,False,41.0,False
140,False,1.0,False,22.0,False
141,True,0.0,True,26.0,False
142,True,0.0,True,17.0,False
143,True,1.0,False,57.0,False
144,False,1.0,True,17.0,False
145,True,3.0,True,35.0,True
146,True,3.0,True,13.0,False
147,False,3.0,False,27.0,False
148,False,1.0,True,31.0,False
149,False,1.0,False,24.0,False
150,True,1.0,True,19.0,False
151,True,1.0,True,32.0,False
152,True,1.0,True,58.0,False
153,False,1.0,False,21.0,False
154,False,0.0,False,38.0,False
155,False,3.0,False,38.0,False
156,True,1.0,False,19.0,False
157,False,1.0,False,0.0,False
158,True,1.0,False,3.0,False
159,False,1.0,False,20.0,False
160,True,0.0,True,24.0,False
161,True,1.0,False,37.0,False
162,False,1.0,False,25.0,False
163,True,1.0,True,56.0,False
164,False,1.0,False,49.0,False
165,False,1.0,True,11.0,False
166,True,1.0,True,1.0,False
167,False,1.0,False,8.0,False
168,False,1.0,False,39.0,False
169,True,3.0,True,2.0,False
170,False,3.0,False,23.0,False
171,True,3.0,False,0.0,False
172,True,3.0,False,39.0,False
173,False,3.0,False,25.0,False
174,False,0.0,False,36.0,False
175,True,1.0,True,52.0,False
176,False,1.0,True,18.0,False
177,True,1.0,True,15.0,False
178,True,0.0,True,35.0,False
179,True,0.0,True,47.0,False
180,True,0.0,True,45.0,False
181,True,0.0,False,27.0,False
182,True,0.0,True,51.0,False
183,False,1.0,False,29.0,False
184,True,0.0,False,27.0,False
185,False,1.0,True,19.0,False
186,True,,True,24.0,False
187,True,3.0,False,29.0,False
188,True,3.0,True,11.0,False
189,False,3.0,False,17.0,False
190,False,1.0,False,13.0,False
191,False,1.0,False,35.0,False
192,False,1.0,False,21.0,False
193,False,1.0,False,21.0,False
194,False,1.0,False,38.0,False
195,True,1.0,True,19.0,False
196,True,1.0,True,2.0,False
197,True,1.0,False,0.0,False
198,False,1.0,True,13.0,False
199,False,1.0,False,25.0,False
200,False,1.0,False,16.0,False
201,False,1.0,False,1.0,False
202,True,1.0,True,15.0,False
203,False,3.0,False,21.0,False
204,False,3.0,False,23.0,False
205,False,3.0,False,33.0,False
206,True,3.0,True,21.0,False
207,False,3.0,False,41.0,False
208,False,3.0,False,16.0,False
209,False,3.0,True,42.0,False
210,False,3.0,False,20.0,False
211,True,3.0,True,24.0,False
212,True,3.0,True,16.0,False
213,False,1.0,False,21.0,False
214,False,3.0,False,32.0,True
215,True,1.0,True,58.0,False
216,False,1.0,False,24.0,False
217,False,3.0,False,30.0,False
218,False,1.0,True,27.0,False
219,False,3.0,False,32.0,False
220,False,1.0,False,43.0,False
221,True,0.0,True,42.0,False
222,False,3.0,False,37.0,False
223,True,3.0,True,35.0,False
224,False,0.0,True,33.0,False
225,False,,False,18.0,False
226,False,1.0,True,21.0,False
227,True,3.0,True,43.0,False
228,True,3.0,True,14.0,True
229,True,0.0,False,46.0,False
230,False,0.0,False,33.0,False
231,False,3.0,False,21.0,False
232,False,0.0,False,33.0,False
233,False,1.0,True,47.0,False
234,True,,True,54.0,False
235,False,1.0,False,30.0,False
236,False,1.0,False,29.0,False
237,True,1.0,False,21.0,False
238,True,0.0,True,24.0,False
239,False,3.0,False,21.0,False
240,True,3.0,True,60.0,False
241,False,1.0,False,22.0,False
242,False,0.0,False,26.0,False
243,False,1.0,False,26.0,False
244,True,1.0,True,28.0,False
245,True,0.0,True,39.0,False
246,False,1.0,False,13.0,False
247,True,1.0,False,47.0,False
248,False,1.0,False,63.0,False
249,True,0.0,True,27.0,False
250,True,1.0,False,50.0,False
251,False,1.0,False,35.0,False
252,False,1.0,False,45.0,False
253,True,1.0,False,19.0,False
254,True,1.0,False,21.0,False
255,True,1.0,True,29.0,False
256,True,1.0,False,22.0,False
257,True,0.0,True,14.0,False
258,True,0.0,True,42.0,False
259,False,1.0,False,57.0,False
260,True,0.0,True,39.0,False
261,False,0.0,False,28.0,False
262,False,1.0,False,19.0,False
263,True,0.0,True,19.0,False
264,True,0.0,False,26.0,False
265,True,0.0,True,17.0,False
266,True,0.0,True,43.0,False
267,True,0.0,False,9.0,False
268,True,0.0,False,40.0,False
269,True,0.0,True,50.0,False
270,True,1.0,False,24.0,False
271,True,0.0,True,57.0,False
272,False,1.0,True,16.0,False
273,False,1.0,False,23.0,False
274,True,,True,23.0,False
275,False,0.0,False,28.0,False
276,False,0.0,False,23.0,False
277,False,1.0,False,23.0,False
278,True,1.0,False,18.0,False
279,False,1.0,False,18.0,False
280,False,0.0,False,67.0,False
281,True,1.0,False,60.0,False
282,True,1.0,True,27.0,False
283,True,1.0,False,49.0,False
284,True,1.0,False,0.0,False
285,False,1.0,False,26.0,False
286,True,,True,35.0,False
287,True,0.0,False,24.0,False
288,True,0.0,True,20.0,False
289,False,1.0,False,18.0,False
290,False,1.0,False,21.0,False
291,False,,False,59.0,True
292,False,1.0,True,13.0,False
293,False,1.0,True,43.0,False
294,False,1.0,True,29.0,False
295,True,1.0,False,19.0,False
296,True,0.0,False,2.0,False
297,True,0.0,False,32.0,False
298,False,0.0,False,33.0,False
299,False,1.0,False,25.0,False
300,True,3.0,True,29.0,False
301,False,3.0,False,29.0,False
302,False,1.0,False,44.0,False
303,True,3.0,True,2.0,False
304,True,3.0,False,19.0,False
305,True,3.0,False,0.0,False
306,True,1.0,True,18.0,False
307,True,0.0,True,38.0,False
308,False,1.0,True,5.0,False
309,False,1.0,False,31.0,False
310,False,3.0,True,30.0,False
311,True,1.0,True,15.0,False
312,False,3.0,False,27.0,False
313,True,3.0,False,22.0,False
314,True,3.0,True,36.0,False
315,True,1.0,True,14.0,False
316,False,3.0,False,23.0,False
317,True,1.0,True,18.0,False
318,True,0.0,True,36.0,False
319,False,1.0,False,41.0,False
320,True,1.0,True,50.0,False
321,True,1.0,True,32.0,False
322,False,1.0,False,26.0,False
323,False,1.0,False,15.0,False
324,True,1.0,False,33.0,False
325,False,1.0,False,27.0,False
326,False,3.0,False,26.0,False
327,True,3.0,True,61.0,False
328,True,1.0,False,24.0,False
329,False,1.0,False,30.0,False
330,True,3.0,True,24.0,False
331,False,1.0,False,24.0,False
332,False,1.0,True,41.0,False
333,False,1.0,False,20.0,False
334,True,1.0,False,22.0,False
335,False,0.0,False,63.0,False
336,False,0.0,False,18.0,False
337,True,0.0,True,21.0,False
338,False,0.0,False,79.0,False
339,True,0.0,True,56.0,False
340,True,0.0,True,13.0,False
341,False,0.0,False,33.0,False
342,True,0.0,True,32.0,False
343,True,1.0,False,31.0,False
344,True,0.0,True,26.0,False
345,True,0.0,True,18.0,False
346,True,0.0,True,38.0,False
347,False,,False,23.0,False
348,False,1.0,False,28.0,False
349,False,1.0,True,34.0,False
350,True,1.0,False,0.0,False
351,True,1.0,False,14.0,False
352,False,1.0,False,23.0,False
353,False,1.0,True,49.0,False
354,False,1.0,True,14.0,False
355,False,1.0,False,18.0,False
356,True,0.0,False,27.0,True
357,False,1.0,False,48.0,False
358,False,0.0,False,31.0,True
359,False,0.0,False,61.0,False
360,True,1.0,True,18.0,False
361,True,3.0,True,45.0,False
362,False,3.0,False,22.0,False
363,False,3.0,False,30.0,True
364,False,3.0,False,30.0,False
365,True,,True,32.0,True
366,True,3.0,False,43.0,True
367,False,1.0,False,17.0,False
368,False,1.0,False,23.0,False
369,False,1.0,False,20.0,False
370,False,1.0,True,39.0,False
371,False,3.0,False,35.0,False
372,False,3.0,False,31.0,False
373,False,1.0,False,21.0,False
374,False,1.0,False,16.0,False
375,True,0.0,False,60.0,False
376,False,1.0,False,18.0,False
377,False,1.0,True,42.0,False
378,True,0.0,True,68.0,False
379,False,0.0,False,22.0,False
380,True,0.0,True,59.0,False
381,True,0.0,False,27.0,False
382,False,3.0,False,37.0,False
383,True,3.0,True,3.0,False
384,True,3.0,True,31.0,False
385,True,0.0,False,31.0,False
386,True,0.0,False,29.0,False
387,True,0.0,False,20.0,False
388,True,0.0,True,46.0,False
389,True,1.0,False,29.0,False
390,True,3.0,True,43.0,False
391,False,3.0,False,17.0,False
392,True,0.0,True,27.0,False
393,False,0.0,False,47.0,False
394,True,3.0,True,45.0,False
395,True,1.0,True,17.0,False
396,True,1.0,False,10.0,False
397,False,1.0,False,56.0,False
398,False,1.0,False,39.0,False
399,False,1.0,False,40.0,False
400,True,0.0,True,40.0,False
401,False,0.0,False,34.0,False
402,False,1.0,False,32.0,False
403,False,1.0,False,35.0,False
404,False,3.0,False,32.0,True
405,False,,False,26.0,True
406,False,1.0,False,25.0,False
407,False,,False,26.0,False
408,True,0.0,True,22.0,False
409,True,1.0,False,22.0,False
410,False,1.0,False,24.0,False
411,True,1.0,True,32.0,False
412,True,1.0,True,11.0,False
413,True,3.0,True,22.0,False
414,True,0.0,True,19.0,False
415,True,0.0,True,34.0,False
416,True,0.0,True,74.0,False
417,True,0.0,True,28.0,True
418,True,0.0,True,42.0,False
419,True,0.0,True,43.0,False
420,False,1.0,False,55.0,False
421,True,1.0,False,19.0,False
422,False,1.0,True,6.0,False
423,False,1.0,False,7.0,False
424,True,0.0,True,28.0,False
425,False,1.0,False,15.0,False
426,True,1.0,True,24.0,False
427,True,1.0,False,31.0,False
428,True,1.0,False,22.0,False
429,True,1.0,False,1.0,False
430,False,1.0,True,50.0,False
431,False,3.0,False,34.0,False
432,False,3.0,False,14.0,False
433,False,1.0,False,19.0,False
434,True,1.0,False,27.0,False
435,False,1.0,False,36.0,False
436,False,1.0,True,34.0,False
437,True,3.0,True,25.0,False
438,True,,True,36.0,False
439,False,0.0,False,16.0,False
440,True,0.0,False,30.0,False
441,False,1.0,False,37.0,False
442,True,1.0,True,15.0,False
443,False,1.0,False,36.0,False
444,False,3.0,False,27.0,False
445,True,3.0,True,27.0,False
446,True,3.0,True,12.0,False
447,False,1.0,False,22.0,False
448,False,1.0,False,27.0,False
449,True,1.0,True,13.0,False
450,False,1.0,False,27.0,False
451,False,1.0,False,28.0,False
452,False,0.0,False,21.0,False
453,False,0.0,True,39.0,False
454,False,1.0,True,28.0,False
455,True,1.0,True,14.0,False
456,True,0.0,True,27.0,False
457,True,0.0,True,46.0,False
458,True,3.0,True,27.0,False
459,False,3.0,False,21.0,False
460,True,3.0,False,21.0,False
461,False,0.0,False,42.0,False
462,False,3.0,False,22.0,False
463,True,3.0,False,10.0,False
464,False,3.0,False,43.0,False
465,False,3.0,False,42.0,False
466,True,0.0,True,18.0,False
467,True,0.0,True,54.0,False
468,True,0.0,True,24.0,False
469,False,0.0,False,64.0,False
470,True,0.0,True,18.0,False
471,True,,True,53.0,False
472,True,3.0,True,23.0,False
473,True,1.0,False,39.0,False
474,True,0.0,False,59.0,False
475,True,0.0,False,32.0,False
476,True,0.0,True,55.0,False
477,True,1.0,True,21.0,False
478,True,0.0,True,50.0,False
479,False,0.0,False,55.0,False
480,False,1.0,False,27.0,False
481,True,,True,35.0,False
482,True,1.0,True,27.0,False
483,False,1.0,False,55.0,False
484,True,1.0,False,23.0,False
485,False,1.0,False,42.0,False
486,True,1.0,False,35.0,False
487,True,1.0,True,47.0,False
488,False,3.0,False,27.0,False
489,True,3.0,True,34.0,False
490,False,0.0,False,46.0,False
491,False,1.0,True,26.0,False
492,False,1.0,True,1.0,False
493,True,1.0,True,27.0,False
494,False,3.0,False,33.0,False
495,False,0.0,False,34.0,False
496,False,0.0,False,49.0,False
497,False,1.0,False,22.0,False
498,True,1.0,False,28.0,False
499,True,0.0,True,27.0,False
500,True,0.0,True,36.0,False
501,True,,True,30.0,False
502,True,0.0,True,49.0,False
503,False,0.0,False,38.0,False
504,True,3.0,True,31.0,False
505,False,,False,17.0,False
506,False,1.0,False,26.0,False
507,False,1.0,False,23.0,False
508,False,1.0,False,24.0,False
509,False,1.0,False,23.0,False
510,True,1.0,False,24.0,False
511,True,3.0,False,32.0,False
512,True,3.0,True,43.0,False
513,True,1.0,False,23.0,False
514,False,1.0,False,42.0,False
515,True,0.0,True,29.0,False
516,True,0.0,True,40.0,False
517,True,0.0,False,37.0,False
518,True,0.0,True,61.0,False
519,False,0.0,False,33.0,False
520,True,1.0,False,19.0,False
521,False,1.0,False,21.0,False
522,False,1.0,False,4.0,False
523,True,1.0,False,12.0,False
524,True,,False,44.0,False
525,False,1.0,False,22.0,False
526,False,3.0,False,33.0,False
527,True,0.0,True,32.0,False
528,True,0.0,True,28.0,False
529,False,0.0,False,28.0,False
530,False,3.0,False,31.0,False
531,True,3.0,True,13.0,False
532,True,1.0,True,14.0,False
533,False,0.0,True,33.0,False
534,True,0.0,True,27.0,False
535,True,1.0,False,23.0,False
536,True,0.0,False,36.0,True
537,True,0.0,True,22.0,False
538,False,0.0,True,19.0,False
539,True,0.0,True,42.0,False
540,True,0.0,True,30.0,False
541,True,0.0,True,16.0,False
542,False,0.0,False,55.0,False
543,True,0.0,True,55.0,False
544,False,1.0,False,19.0,False
545,False,1.0,False,27.0,False
546,True,0.0,True,18.0,False
547,False,1.0,False,21.0,False
548,False,1.0,False,65.0,False
549,True,1.0,False,55.0,False
550,False,1.0,False,50.0,False
551,True,1.0,True,49.0,False
552,False,1.0,False,22.0,False
553,True,3.0,True,33.0,False
554,True,3.0,True,3.0,False
555,True,3.0,True,0.0,False
556,True,3.0,True,33.0,False
557,True,3.0,True,48.0,False
558,True,3.0,True,5.0,False
559,False,3.0,False,23.0,False
560,True,0.0,True,53.0,False
561,False,3.0,False,18.0,False
562,False,1.0,True,20.0,False
563,False,1.0,False,23.0,False
564,False,1.0,False,48.0,False
565,False,1.0,True,19.0,False
566,False,3.0,False,27.0,True
567,False,1.0,False,9.0,False
568,False,,False,24.0,False
569,True,3.0,False,46.0,False
570,True,1.0,True,23.0,False
571,False,1.0,True,21.0,False
572,False,1.0,True,19.0,False
573,True,3.0,False,0.0,False
574,True,3.0,False,4.0,False
575,False,3.0,False,26.0,False
576,True,3.0,True,9.0,False
577,True,0.0,False,24.0,False
578,True,3.0,True,24.0,False
579,False,3.0,False,25.0,False
580,True,3.0,True,21.0,False
581,False,1.0,False,21.0,False
582,False,0.0,False,37.0,True
583,False,0.0,False,44.0,False
584,False,0.0,False,43.0,False
585,True,1.0,False,7.0,False
586,False,3.0,False,33.0,False
587,False,1.0,False,24.0,False
588,True,1.0,True,31.0,False
589,True,0.0,True,27.0,True
590,True,1.0,False,34.0,False
591,False,1.0,True,58.0,False
592,True,1.0,False,7.0,False
593,True,1.0,True,3.0,False
594,True,1.0,False,21.0,False
595,False,1.0,False,21.0,False
596,True,0.0,True,39.0,True
597,True,0.0,True,43.0,False
598,True,1.0,True,22.0,False
599,True,1.0,False,44.0,False
600,False,1.0,False,38.0,False
601,True,3.0,True,32.0,False
602,True,3.0,True,55.0,False
603,False,3.0,False,31.0,True
604,False,1.0,False,39.0,False
605,True,1.0,False,35.0,False
606,False,1.0,False,37.0,False
607,False,1.0,False,13.0,False
608,False,1.0,False,21.0,False
609,False,3.0,False,20.0,False
610,True,0.0,True,20.0,False
611,True,1.0,False,63.0,False
612,False,1.0,False,36.0,False
613,True,0.0,False,29.0,False
614,True,0.0,False,36.0,False
615,False,0.0,False,79.0,False
616,True,0.0,True,30.0,False
617,True,0.0,True,30.0,False
618,True,3.0,False,19.0,False
619,True,0.0,True,33.0,False
620,False,1.0,False,20.0,False
621,True,0.0,True,38.0,False
622,True,3.0,True,7.0,False
623,True,3.0,True,58.0,False
624,False,3.0,False,33.0,False
625,True,1.0,True,3.0,False
626,True,3.0,True,39.0,False
627,True,3.0,False,37.0,False
628,False,1.0,False,32.0,False
629,True,1.0,False,28.0,False
630,False,1.0,False,38.0,False
631,False,1.0,False,21.0,False
632,True,1.0,True,18.0,False
633,False,1.0,True,15.0,False
634,False,0.0,False,44.0,False
635,True,1.0,False,44.0,False
636,False,0.0,False,36.0,False
637,True,,False,28.0,False
638,False,3.0,False,15.0,False
639,False,1.0,False,45.0,False
640,False,1.0,False,26.0,False
641,True,1.0,True,46.0,False
642,False,1.0,False,25.0,False
643,False,1.0,True,46.0,False
644,False,1.0,True,15.0,False
645,False,1.0,True,37.0,False
646,False,1.0,False,20.0,True
647,False,1.0,True,45.0,False
648,False,1.0,True,7.0,False
649,False,1.0,True,5.0,True
650,True,3.0,True,38.0,False
651,False,3.0,False,30.0,False
652,True,3.0,False,27.0,False
653,True,3.0,False,0.0,False
654,True,3.0,True,20.0,False
655,False,1.0,False,41.0,False
656,True,3.0,True,18.0,False
657,False,3.0,False,29.0,True
658,False,3.0,False,19.0,False
659,False,3.0,False,34.0,False
660,True,0.0,True,36.0,False
661,True,3.0,True,54.0,False
662,False,3.0,False,19.0,False
663,False,3.0,False,21.0,False
664,True,3.0,True,23.0,False
665,True,0.0,True,35.0,False
666,False,0.0,False,34.0,False
667,True,1.0,False,22.0,False
668,True,1.0,False,24.0,False
669,True,3.0,True,18.0,False
670,False,3.0,False,24.0,False
671,True,0.0,True,33.0,False
672,False,1.0,False,24.0,False
673,True,1.0,True,18.0,False
674,True,1.0,True,19.0,False
675,True,1.0,False,43.0,False
676,True,1.0,True,44.0,False
677,True,0.0,False,25.0,False
678,True,0.0,True,25.0,True
679,True,0.0,True,23.0,False
680,False,3.0,False,23.0,False
681,False,3.0,True,20.0,False
682,True,3.0,True,2.0,False
683,False,1.0,False,26.0,False
684,True,1.0,True,38.0,False
685,False,1.0,False,1.0,False
686,True,1.0,False,12.0,False
687,False,1.0,True,2.0,False
688,False,1.0,True,25.0,False
689,True,1.0,True,1.0,False
690,True,1.0,True,0.0,False
691,True,0.0,True,54.0,False
692,False,1.0,False,21.0,False
693,False,3.0,False,19.0,False
694,False,1.0,False,24.0,False
695,False,1.0,True,20.0,False
696,True,1.0,False,23.0,False
697,True,1.0,False,29.0,False
698,True,1.0,False,14.0,False
699,False,1.0,False,19.0,False
700,False,1.0,False,23.0,False
701,False,1.0,False,62.0,False
702,False,1.0,False,23.0,False
703,False,0.0,False,65.0,False
704,True,3.0,True,47.0,False
705,False,0.0,False,67.0,False
706,True,0.0,True,14.0,False
707,False,0.0,False,41.0,False
708,True,1.0,True,14.0,False
709,False,1.0,True,19.0,False
710,False,1.0,False,22.0,False
711,True,0.0,True,34.0,False
712,False,0.0,False,65.0,False
713,True,0.0,True,42.0,False
714,True,0.0,True,22.0,False
715,True,0.0,True,54.0,False
716,False,0.0,False,34.0,False
717,True,0.0,True,27.0,False
718,False,3.0,False,67.0,False
719,True,0.0,False,33.0,False
720,False,1.0,True,30.0,False
721,False,1.0,True,22.0,False
722,True,3.0,False,35.0,False
723,False,3.0,False,23.0,False
724,False,1.0,False,49.0,False
725,False,0.0,False,36.0,False
726,True,0.0,True,31.0,False
727,True,0.0,True,54.0,False
728,False,1.0,True,0.0,False
729,False,1.0,False,27.0,False
730,False,1.0,True,54.0,False
731,False,1.0,True,10.0,False
732,True,1.0,False,0.0,False
733,True,1.0,True,7.0,False
734,False,1.0,True,25.0,False
735,False,0.0,False,37.0,False
736,True,0.0,True,15.0,False
737,True,,True,26.0,False
738,True,0.0,False,7.0,False
739,False,1.0,False,30.0,False
740,True,1.0,False,19.0,False
741,False,0.0,False,30.0,False
742,False,1.0,False,21.0,False
743,False,1.0,False,21.0,False
744,True,3.0,True,59.0,False
745,True,0.0,True,28.0,False
746,False,1.0,False,32.0,False
747,True,1.0,True,19.0,False
748,False,1.0,True,7.0,False
749,False,1.0,False,16.0,False
750,False,0.0,False,31.0,True
751,False,0.0,False,30.0,False
752,True,0.0,True,26.0,False
753,True,1.0,True,20.0,False
754,False,1.0,True,24.0,False
755,False,1.0,False,39.0,False
756,True,3.0,True,19.0,False
757,True,3.0,True,27.0,False
758,False,1.0,False,34.0,False
759,True,0.0,True,28.0,False
760,False,1.0,False,29.0,False
761,True,3.0,True,38.0,False
762,False,0.0,False,27.0,False
763,True,3.0,True,1.0,False
764,True,0.0,False,36.0,True
765,False,1.0,False,31.0,False
766,True,1.0,False,1.0,False
767,False,1.0,False,31.0,False
768,True,3.0,False,10.0,False
769,False,3.0,False,27.0,False
770,False,3.0,False,42.0,False
771,True,3.0,False,0.0,False
772,False,3.0,False,41.0,False
773,True,3.0,True,0.0,False
774,True,3.0,False,0.0,False
775,True,3.0,True,59.0,False
776,False,1.0,False,13.0,False
777,False,0.0,False,24.0,False
778,False,1.0,True,20.0,False
779,True,0.0,False,71.0,True
780,True,1.0,True,23.0,True
781,True,1.0,False,15.0,False
782,False,1.0,False,18.0,False
783,True,1.0,False,19.0,False
784,True,1.0,True,4.0,False
785,True,1.0,False,42.0,False
786,False,3.0,False,51.0,False
787,True,1.0,True,13.0,False
788,True,1.0,False,27.0,False
789,False,1.0,False,42.0,False
790,True,1.0,False,41.0,False
791,True,1.0,False,21.0,False
792,True,1.0,False,31.0,False
793,True,0.0,True,36.0,False
794,False,1.0,False,31.0,False
795,False,1.0,False,14.0,False
796,False,3.0,False,32.0,True
797,False,0.0,False,32.0,False
798,False,1.0,True,27.0,False
799,False,0.0,False,57.0,False
800,False,1.0,True,13.0,False
801,True,3.0,True,30.0,False
802,True,3.0,True,14.0,False
803,True,0.0,False,27.0,False
804,True,0.0,True,32.0,False
805,True,3.0,True,54.0,False
806,False,1.0,False,23.0,False
807,True,,True,38.0,False
808,True,1.0,True,32.0,False
809,False,1.0,False,24.0,False
810,False,1.0,True,36.0,False
811,False,1.0,False,11.0,False
812,False,1.0,True,6.0,False
813,True,0.0,True,36.0,False
814,True,0.0,True,22.0,False
815,False,1.0,False,27.0,False
816,True,1.0,True,37.0,False
817,False,1.0,False,55.0,False
818,False,1.0,False,27.0,False
819,True,0.0,False,20.0,False
820,False,1.0,False,16.0,False
821,False,1.0,False,19.0,False
822,False,1.0,False,38.0,False
823,False,1.0,False,35.0,False
824,True,0.0,True,33.0,False
825,False,3.0,False,37.0,True
826,False,1.0,False,46.0,False
827,False,0.0,False,41.0,False
828,False,1.0,False,13.0,False
829,False,1.0,True,31.0,False
830,True,1.0,True,52.0,False
831,False,0.0,False,48.0,False
832,True,0.0,False,27.0,True
833,False,3.0,False,16.0,False
834,True,1.0,True,32.0,False
835,False,1.0,True,25.0,True
836,True,1.0,False,26.0,False
837,False,1.0,True,44.0,False
838,True,3.0,False,32.0,False
839,True,1.0,False,18.0,False
840,False,1.0,True,23.0,True
841,False,0.0,False,44.0,False
842,False,3.0,False,29.0,False
843,True,1.0,False,19.0,False
844,False,0.0,False,41.0,False
845,False,0.0,False,28.0,False
846,True,1.0,True,19.0,False
847,False,3.0,False,32.0,True
848,True,,False,74.0,False
849,True,0.0,False,31.0,False
850,False,0.0,False,38.0,True
851,False,1.0,False,20.0,False
852,False,1.0,False,24.0,False
853,False,1.0,False,26.0,False
854,False,1.0,True,44.0,False
855,True,0.0,True,33.0,False
856,False,0.0,False,31.0,False
857,True,0.0,False,27.0,False
858,True,0.0,True,22.0,False
859,False,1.0,False,33.0,False
860,False,3.0,False,34.0,False
861,True,3.0,True,11.0,False
862,True,3.0,True,41.0,False
863,True,0.0,False,30.0,False
864,False,0.0,False,30.0,False
865,False,1.0,False,25.0,False
866,True,1.0,True,31.0,False
867,False,1.0,False,38.0,False
868,True,1.0,True,15.0,False
869,True,1.0,False,19.0,False
870,True,3.0,True,29.0,False
871,True,0.0,False,30.0,False
872,False,0.0,False,29.0,False
873,False,1.0,False,36.0,False
874,False,1.0,False,24.0,False
875,True,1.0,False,30.0,False
